ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	Species	Response
GO:0009611	response to wounding	26/1852	229/53708	1.22552560508052e-07	1.1677508265553e-05	1.02464997958612e-05	Bo1g006240/Bo1g036850/Bo2g068460/Bo2g076750/Bo2g076880/Bo3g023330/Bo3g034220/Bo3g130040/Bo3g147640/Bo5g027170/Bo5g062450/Bo5g121480/Bo8g067140/Bo8g068340/Bo8g102890/Bo8g104890/BraA01g016870.3C/BraA02g020000.3C/BraA03g005650.3C/BraA04g010610.3C/BraA07g035430.3C/BraA07g036860.3C/BraA08g028330.3C/BraA09g050760.3C/BraA09g056830.3C/BraA09g057760.3C	26	B. napus (syn)	down-regulated
GO:0006101	citrate metabolic process	6/1852	13/53708	2.32264507644445e-06	0.00017213380733205	0.000151039843567616	Bo3g037260/Bo8g051550/BraA01g002710.3C/BraA03g023350.3C/BraA08g019620.3C/BraA08g020550.3C	6	B. napus (syn)	down-regulated
GO:0010337	regulation of salicylic acid metabolic process	6/1852	13/53708	2.32264507644445e-06	0.00017213380733205	0.000151039843567616	Bo3g143380/Bo3g145220/Bo5g055890/Bo7g045220/BraA08g023780.3C/BraA09g036310.3C	6	B. napus (syn)	down-regulated
GO:0036529	protein deglycation, glyoxal removal	6/1852	14/53708	3.94539363378501e-06	0.000239234323066782	0.000209917594295164	Bo1g007680/Bo3g066520/Bo4g125910/Bo5g127540/BraA03g036740.3C/BraA05g032080.3C	6	B. napus (syn)	down-regulated
GO:0106046	guanine deglycation, glyoxal removal	6/1852	14/53708	3.94539363378501e-06	0.000239234323066782	0.000209917594295164	Bo1g007680/Bo3g066520/Bo4g125910/Bo5g127540/BraA03g036740.3C/BraA05g032080.3C	6	B. napus (syn)	down-regulated
GO:0070588	calcium ion transmembrane transport	12/1852	76/53708	1.09674991804153e-05	0.000609610162778084	0.00053490610037815	Bo1g014870/Bo3g142920/Bo4g187430/Bo7g114090/Bo9g186080/BraA03g035850.3C/BraA03g055330.3C/BraA04g027070.3C/BraA05g007450.3C/BraA08g024680.3C/BraA09g047950.3C/BraA10g033750.3C	12	B. napus (syn)	down-regulated
GO:0009651	response to salt stress	35/1852	464/53708	1.62793529251431e-05	0.000835256030851571	0.000732900423188627	Bo1g008480/Bo1g033110/Bo1g054940/Bo2g010110/Bo3g045450/Bo3g058580/Bo3g093790/Bo3g107500/Bo3g111000/Bo3g134060/Bo3g163960/Bo4g139020/Bo4g160060/Bo5g004330/Bo5g009360/Bo7g099350/Bo8g051350/Bo9g017610/Bo9g071470/Bo9g075870/Bo9g153850/Bo9g157440/BraA01g004940.3C/BraA02g003670.3C/BraA02g040600.3C/BraA04g010610.3C/BraA04g019180.3C/BraA06g001260.3C/BraA06g030110.3C/BraA06g042040.3C/BraA08g001460.3C/BraA08g014770.3C/BraA08g016760.3C/BraA09g036850.3C/BraA10g033570.3C	35	B. napus (syn)	down-regulated
GO:0006090	pyruvate metabolic process	5/1852	11/53708	1.88266015483765e-05	0.000896953088054794	0.000787036876759197	Bo1g056690/Bo5g131890/Bo7g103820/BraA01g021200.3C/BraA05g033100.3C	5	B. napus (syn)	down-regulated
GO:0000165	MAPK cascade	12/1852	84/53708	3.10025455067639e-05	0.00137857985686744	0.00120964317907093	Bo3g013470/Bo3g130040/Bo8g093210/Bo9g026180/Bo9g091360/BraA02g034690.3C/BraA05g016950.3C/BraA06g001320.3C/BraA06g020840.3C/BraA06g040570.3C/BraA09g023130.3C/BraA09g027220.3C	12	B. napus (syn)	down-regulated
GO:0019249	lactate biosynthetic process	5/1852	13/53708	4.94983266067107e-05	0.00194208140274565	0.00170409099649109	Bo3g066520/Bo4g125910/Bo5g127540/BraA03g036740.3C/BraA05g032080.3C	5	B. napus (syn)	down-regulated
GO:0061727	methylglyoxal catabolic process to lactate	5/1852	13/53708	4.94983266067107e-05	0.00194208140274565	0.00170409099649109	Bo3g066520/Bo4g125910/Bo5g127540/BraA03g036740.3C/BraA05g032080.3C	5	B. napus (syn)	down-regulated
GO:0009699	phenylpropanoid biosynthetic process	5/1852	15/53708	0.000109016825106797	0.00382706433401228	0.00335808059608747	Bo3g077430/Bo3g083290/BraA02g022690.3C/BraA06g015140.3C/BraA08g022530.3C	5	B. napus (syn)	down-regulated
GO:0019310	inositol catabolic process	5/1852	15/53708	0.000109016825106797	0.00382706433401228	0.00335808059608747	Bo7g005440/Bo7g110790/Bo9g027930/BraA03g053010.3C/BraA09g012070.3C	5	B. napus (syn)	down-regulated
GO:0006098	pentose-phosphate shunt	10/1852	70/53708	0.000139826280786874	0.00463493616691364	0.00406695259023749	Bo3g009150/Bo7g050060/Bo9g028960/Bo9g166780/Bo9g169040/Bo9g169050/Bo9g175690/BraA03g005580.3C/BraA03g005720.3C/BraA08g009110.3C	10	B. napus (syn)	down-regulated
GO:0010411	xyloglucan metabolic process	13/1852	113/53708	0.000145927525495032	0.00463493616691364	0.00406695259023749	Bo1g014320/Bo1g014340/Bo1g040530/Bo2g030310/Bo7g079960/Bo7g114390/Bo8g030170/BraA01g007430.3C/BraA01g007440.3C/BraA01g016530.3C/BraA02g012200.3C/BraA10g015660.3C/BraA10g025140.3C	13	B. napus (syn)	down-regulated
GO:0006541	glutamine metabolic process	12/1852	100/53708	0.000173861816478436	0.00527117416323258	0.00462522344315839	Bo3g134320/Bo3g139920/Bo3g175530/Bo4g125910/Bo5g043620/Bo5g127540/Bo7g041290/BraA05g032080.3C/BraA06g019700.3C/BraA07g010340.3C/BraA08g018030.3C/BraA08g025300.3C	12	B. napus (syn)	down-regulated
GO:0006520	cellular amino acid metabolic process	14/1852	134/53708	0.000230716215491089	0.00668237750157705	0.00586349229208055	Bo1g001040/Bo1g036850/Bo3g007080/Bo3g041960/Bo9g028670/Bo9g157440/BraA02g002350.3C/BraA02g028360.3C/BraA03g002960.3C/BraA03g004710.3C/BraA09g012050.3C/BraA09g051040.3C/BraA09g053440.3C/BraA10g021930.3C	14	B. napus (syn)	down-regulated
GO:0044550	secondary metabolite biosynthetic process	4/1852	10/53708	0.000250463924346966	0.00668237750157705	0.00586349229208055	Bo2g120840/Bo7g067020/BraA02g031060.3C/BraA06g043350.3C	4	B. napus (syn)	down-regulated
GO:0046937	phytochelatin metabolic process	4/1852	10/53708	0.000250463924346966	0.00668237750157705	0.00586349229208055	Bo2g120840/Bo7g067020/BraA02g031060.3C/BraA06g043350.3C	4	B. napus (syn)	down-regulated
GO:0009116	nucleoside metabolic process	11/1852	90/53708	0.000272282358156716	0.00698508972655883	0.00612910895283943	Bo1g038910/Bo1g038920/Bo3g185630/Bo4g017440/Bo5g049020/Bo7g113430/BraA01g015150.3C/BraA01g015160.3C/BraA07g017330.3C/BraA08g000320.3C/BraA08g015660.3C	11	B. napus (syn)	down-regulated
GO:0006006	glucose metabolic process	8/1852	50/53708	0.000290855478971084	0.00711480554653685	0.00624292887852046	Bo5g148380/Bo7g050060/Bo9g018470/Bo9g169040/Bo9g169050/BraA03g005580.3C/BraA05g042370.3C/BraA08g009110.3C	8	B. napus (syn)	down-regulated
GO:0006032	chitin catabolic process	9/1852	63/53708	0.000298672496706195	0.00711480554653685	0.00624292887852046	Bo3g028270/Bo3g036730/Bo4g020920/Bo9g055720/BraA03g035300.3C/BraA04g030200.3C/BraA05g003680.3C/BraA09g002350.3C/BraA09g045350.3C	9	B. napus (syn)	down-regulated
GO:0010119	regulation of stomatal movement	11/1852	92/53708	0.000330450110708087	0.00760035254628599	0.00666897501102346	Bo1g008480/Bo4g076870/Bo4g160060/Bo5g135110/Bo7g069890/Bo8g098800/Bo9g033770/BraA01g004940.3C/BraA04g019180.3C/BraA04g028930.3C/BraA08g016760.3C	11	B. napus (syn)	down-regulated
GO:0042732	D-xylose metabolic process	5/1852	19/53708	0.000376210089467636	0.00797957339286885	0.00700172462153409	Bo1g068550/Bo3g018260/Bo3g134140/Bo9g133380/BraA10g015740.3C	5	B. napus (syn)	down-regulated
GO:0043043	peptide biosynthetic process	4/1852	11/53708	0.000382828108803303	0.00797957339286885	0.00700172462153409	Bo2g120840/Bo7g067020/BraA02g031060.3C/BraA06g043350.3C	4	B. napus (syn)	down-regulated
GO:0046938	phytochelatin biosynthetic process	4/1852	11/53708	0.000382828108803303	0.00797957339286885	0.00700172462153409	Bo2g120840/Bo7g067020/BraA02g031060.3C/BraA06g043350.3C	4	B. napus (syn)	down-regulated
GO:0046470	phosphatidylcholine metabolic process	7/1852	41/53708	0.000460670452766371	0.00931112703015664	0.00817010436166195	Bo1g126040/Bo3g045400/Bo3g045420/Bo3g045430/Bo3g080010/BraA03g040130.3C/BraA10g000160.3C	7	B. napus (syn)	down-regulated
GO:0006783	heme biosynthetic process	4/1852	12/53708	0.000558565246349728	0.0109577358622138	0.00961493117555569	Bo7g095530/Bo8g098670/BraA04g031070.3C/BraA06g033080.3C	4	B. napus (syn)	down-regulated
GO:0006635	fatty acid beta-oxidation	6/1852	31/53708	0.000584917015473799	0.0111468471234578	0.00978086798807315	Bo3g100490/Bo4g017330/Bo8g054570/Bo9g018520/BraA01g008530.3C/BraA01g019720.3C	6	B. napus (syn)	down-regulated
GO:0006952	defense response	28/1852	417/53708	0.000709828575587633	0.0131515461088042	0.0115399031586761	Bo1g033110/Bo1g098200/Bo2g068460/Bo2g076750/Bo3g034160/Bo3g147640/Bo3g156820/Bo4g086790/Bo5g027170/Bo5g062450/Bo5g121480/Bo8g059990/Bo8g067140/Bo8g068340/Bo8g102890/Bo8g104890/Bo8g108960/BraA02g020000.3C/BraA03g005650.3C/BraA07g001990.3C/BraA07g035430.3C/BraA07g036860.3C/BraA08g028330.3C/BraA09g012380.3C/BraA09g050760.3C/BraA09g056830.3C/BraA09g057760.3C/BraA09g061390.3C	28	B. napus (syn)	down-regulated
GO:0016998	cell wall macromolecule catabolic process	9/1852	71/53708	0.00073499184522053	0.013249717858435	0.0116260445502878	Bo3g028270/Bo3g036730/Bo4g020920/Bo9g055720/BraA03g035300.3C/BraA04g030200.3C/BraA05g003680.3C/BraA09g002350.3C/BraA09g045350.3C	9	B. napus (syn)	down-regulated
GO:0006750	glutathione biosynthetic process	4/1852	13/53708	0.000784817210679956	0.0134223866544495	0.0117775538228895	Bo1g033120/Bo9g010330/BraA01g013720.3C/BraA09g004950.3C	4	B. napus (syn)	down-regulated
GO:0010038	response to metal ion	4/1852	13/53708	0.000784817210679956	0.0134223866544495	0.0117775538228895	Bo2g120840/Bo7g067020/BraA02g031060.3C/BraA06g043350.3C	4	B. napus (syn)	down-regulated
GO:0006108	malate metabolic process	7/1852	45/53708	0.000824886591977787	0.0137549839212296	0.0120693932931487	Bo3g018790/Bo3g183840/Bo5g004570/Bo9g059040/BraA04g016750.3C/BraA05g017230.3C/BraA10g002950.3C	7	B. napus (syn)	down-regulated
GO:0006631	fatty acid metabolic process	6/1852	34/53708	0.000978269289335797	0.0159147711216336	0.0139645115499539	Bo1g147670/Bo3g055760/Bo3g060870/Bo5g143130/Bo8g054570/Bo9g163350	6	B. napus (syn)	down-regulated
GO:0006012	galactose metabolic process	8/1852	63/53708	0.00141408605012552	0.0214931944694615	0.0188593326363459	Bo1g037320/Bo5g016650/Bo5g143380/Bo7g109220/Bo8g065000/Bo9g028910/BraA01g014620.3C/BraA08g030770.3C	8	B. napus (syn)	down-regulated
GO:0009806	lignan metabolic process	4/1852	15/53708	0.00141784191402744	0.0214931944694615	0.0188593326363459	BraA02g022690.3C/BraA06g015140.3C/BraA07g038900.3C/BraA08g022530.3C	4	B. napus (syn)	down-regulated
GO:0015866	ADP transport	4/1852	15/53708	0.00141784191402744	0.0214931944694615	0.0188593326363459	Bo2g013640/BraA02g007020.3C/BraA07g025740.3C/BraA08g029820.3C	4	B. napus (syn)	down-regulated
GO:0009607	response to biotic stimulus	7/1852	51/53708	0.0017593415259026	0.0260773510617119	0.0228817283836689	Bo1g033110/Bo1g098200/Bo3g034160/Bo4g086790/Bo8g059990/Bo8g108960/BraA09g061390.3C	7	B. napus (syn)	down-regulated
GO:0042546	cell wall biogenesis	13/1852	147/53708	0.00180878098138174	0.0260995861906199	0.0229012387311365	Bo1g014320/Bo1g014340/Bo1g040530/Bo2g030310/Bo7g079960/Bo7g114390/Bo8g030170/BraA01g007430.3C/BraA01g007440.3C/BraA01g016530.3C/BraA02g012200.3C/BraA10g015660.3C/BraA10g025140.3C	13	B. napus (syn)	down-regulated
GO:1901701	cellular response to oxygen-containing compound	4/1852	16/53708	0.0018391012758008	0.0260995861906199	0.0229012387311365	Bo5g027170/Bo8g068340/BraA08g028330.3C/BraA09g056830.3C	4	B. napus (syn)	down-regulated
GO:0006890	retrograde vesicle-mediated transport, Golgi to ER	7/1852	52/53708	0.00197334363475881	0.0274212542580027	0.0240609443185504	Bo1g145110/Bo2g006780/Bo3g061860/Bo5g020800/Bo5g063250/Bo9g154360/BraA03g033730.3C	7	B. napus (syn)	down-regulated
GO:0010183	pollen tube guidance	5/1852	27/53708	0.00207725101605939	0.028276049545135	0.0248109895795708	Bo3g089980/Bo3g130040/BraA03g042950.3C/BraA06g020840.3C/BraA07g033210.3C	5	B. napus (syn)	down-regulated
GO:0055046	microgametogenesis	6/1852	40/53708	0.00234210142047969	0.031243632949199	0.0274149134691938	Bo3g015630/Bo5g136650/Bo8g104160/Bo9g149780/Bo9g176840/BraA03g034760.3C	6	B. napus (syn)	down-regulated
GO:0006772	thiamine metabolic process	4/1852	19/53708	0.00360684464052714	0.0447066881852227	0.0392281521833564	Bo9g117740/BraA02g013680.3C/BraA10g001540.3C/BraA10g012830.3C	4	B. napus (syn)	down-regulated
GO:0016485	protein processing	4/1852	19/53708	0.00360684464052714	0.0447066881852227	0.0392281521833564	Bo5g009190/Bo7g077190/BraA06g023320.3C/BraA09g036370.3C	4	B. napus (syn)	down-regulated
GO:0098869	cellular oxidant detoxification	26/1852	423/53708	0.00360737630229321	0.0447066881852227	0.0392281521833564	Bo1g003570/Bo2g149580/Bo3g082040/Bo3g101610/Bo5g008580/Bo5g019760/Bo7g061480/Bo7g088940/Bo8g077570/Bo8g101160/Bo9g033770/Bo9g092640/Bo9g175880/BraA02g001710.3C/BraA02g039310.3C/BraA03g040980.3C/BraA03g060780.3C/BraA06g017920.3C/BraA06g027600.3C/BraA06g035910.3C/BraA07g015670.3C/BraA07g019900.3C/BraA08g010180.3C/BraA09g026940.3C/BraA09g029360.3C/BraA09g059310.3C	26	B. napus (syn)	down-regulated
GO:0009626	plant-type hypersensitive response	9/1852	89/53708	0.00361943202698954	0.0447066881852227	0.0392281521833564	Bo3g017490/Bo3g143380/Bo3g145220/Bo5g055890/Bo7g045220/Bo8g106550/BraA01g002370.3C/BraA08g023780.3C/BraA09g036310.3C	9	B. napus (syn)	down-regulated
GO:0061025	membrane fusion	12/1852	142/53708	0.00386340346301535	0.0468525474514771	0.0411110492906514	Bo2g161400/Bo4g125430/Bo5g048930/Bo5g135110/Bo7g098410/Bo7g103700/BraA03g003310.3C/BraA03g034970.3C/BraA04g006990.3C/BraA07g042510.3C/BraA09g001930.3C/BraA09g032820.3C	12	B. napus (syn)	down-regulated
GO:0042742	defense response to bacterium	14/1852	180/53708	0.00403348269820402	0.0479132717412634	0.0420417881924445	Bo1g010620/Bo2g003980/Bo3g034220/Bo3g058580/Bo3g130040/Bo4g154730/Bo4g187110/Bo5g001320/Bo5g138010/Bo8g083150/Bo9g003760/Bo9g184720/BraA01g016870.3C/BraA03g031830.3C	14	B. napus (syn)	down-regulated
GO:0009228	thiamine biosynthetic process	3/1852	10/53708	0.00409453746514545	0.0479132717412634	0.0420417881924445	Bo9g117740/BraA02g013680.3C/BraA10g012830.3C	3	B. napus (syn)	down-regulated
GO:0006099	tricarboxylic acid cycle	16/796	100/28056	2.21855450939649e-08	8.54143486117649e-06	7.82332379629289e-06	Bo2g003960/Bo2g041280/Bo3g002260/Bo3g004830/Bo3g021740/Bo3g183840/Bo4g001130/Bo4g001140/Bo4g191690/Bo4g198680/Bo5g004570/Bo7g014940/Bo7g064530/Bo9g059040/Bo9g119120/Bo9g183040	16	B. oleracea	down-regulated
GO:0046686	response to cadmium ion	14/796	132/28056	2.43238131543287e-05	0.00468233403220827	0.00428867231931585	Bo1g008520/Bo1g108930/Bo2g010850/Bo3g022630/Bo3g065440/Bo3g066520/Bo3g101500/Bo3g134100/Bo4g125910/Bo5g027610/Bo7g106830/Bo8g072710/Bo8g077450/Bo9g157440	14	B. oleracea	down-regulated
GO:0009611	response to wounding	12/796	135/28056	0.000479545010160194	0.0432286988675424	0.0395942969805242	Bo1g036850/Bo1g119100/Bo3g009050/Bo3g026760/Bo3g034220/Bo5g027170/Bo5g122590/Bo8g067140/Bo8g068340/Bo8g095730/Bo9g007560/Bo9g168900	12	B. oleracea	down-regulated
GO:0009735	response to cytokinin	9/796	82/28056	0.000525324131659044	0.0432286988675424	0.0395942969805242	Bo1g053220/Bo3g001360/Bo3g022630/Bo3g132900/Bo5g150240/Bo8g017980/Bo8g066850/Bo8g068580/Bo8g077450	9	B. oleracea	down-regulated
GO:0009765	photosynthesis, light harvesting	6/796	37/28056	0.000561411673604447	0.0432286988675424	0.0395942969805242	Bo2g144900/Bo3g085600/Bo3g134510/Bo4g101180/Bo7g085890/Bo9g042070	6	B. oleracea	down-regulated
GO:0000162	tryptophan biosynthetic process	5/796	26/28056	0.000727506582219397	0.046681672359078	0.0427569657971049	Bo4g137300/Bo8g024390/Bo9g005950/Bo9g158580/Bo9g176940	5	B. oleracea	down-regulated
GO:0006099	tricarboxylic acid cycle	15/698	79/27343	1.30348712757771e-09	3.93653112528467e-07	3.60860120582038e-07	BraA02g000820.3C/BraA03g023350.3C/BraA03g043560.3C/BraA04g016750.3C/BraA05g000400.3C/BraA05g003150.3C/BraA05g017230.3C/BraA06g037640.3C/BraA07g023380.3C/BraA07g023590.3C/BraA07g031830.3C/BraA08g015360.3C/BraA09g019740.3C/BraA09g048990.3C/BraA10g002950.3C	15	B. rapa	down-regulated
GO:0015996	chlorophyll catabolic process	6/698	16/27343	1.74333539713399e-06	0.000263243644967233	0.000241314320761179	BraA01g013510.3C/BraA03g001800.3C/BraA03g027730.3C/BraA04g008820.3C/BraA08g006610.3C/BraA08g012010.3C	6	B. rapa	down-regulated
GO:0006108	malate metabolic process	6/698	19/27343	5.53220381681798e-06	0.000556908517559677	0.000510515650464256	BraA03g005130.3C/BraA03g011940.3C/BraA04g016750.3C/BraA05g017230.3C/BraA09g019740.3C/BraA10g002950.3C	6	B. rapa	down-regulated
GO:0008643	carbohydrate transport	11/698	101/27343	5.4925898082176e-05	0.00414690530520429	0.00380145031463481	BraA02g022660.3C/BraA02g040680.3C/BraA03g032410.3C/BraA05g032350.3C/BraA06g015050.3C/BraA06g018300.3C/BraA06g024680.3C/BraA06g031080.3C/BraA06g034090.3C/BraA07g016340.3C/BraA10g021360.3C	11	B. rapa	down-regulated
GO:0009651	response to salt stress	15/698	205/27343	0.00026987907597959	0.0163006961891672	0.0149427783121331	BraA02g003670.3C/BraA02g028310.3C/BraA03g020370.3C/BraA03g028360.3C/BraA04g014740.3C/BraA06g001260.3C/BraA06g013670.3C/BraA06g019720.3C/BraA06g040460.3C/BraA06g042040.3C/BraA08g001460.3C/BraA09g006440.3C/BraA09g007870.3C/BraA09g044780.3C/BraA10g027170.3C	15	B. rapa	down-regulated
GO:0018298	protein-chromophore linkage	7/698	59/27343	0.000739111693194553	0.0372019552241259	0.0341028728614329	BraA04g001140.3C/BraA05g037360.3C/BraA06g006450.3C/BraA06g019540.3C/BraA06g039700.3C/BraA09g016320.3C/BraA09g045720.3C	7	B. rapa	down-regulated
GO:0015979	photosynthesis	9/698	100/27343	0.00105432631607878	0.0454866496365418	0.0416974167110857	BraA01g019360.3C/BraA04g011050.3C/BraA04g016740.3C/BraA04g021840.3C/BraA08g010100.3C/BraA08g018830.3C/BraA08g033850.3C/BraA09g024970.3C/BraA10g005400.3C	9	B. rapa	down-regulated
