A_thaliana_ortholog	Genefamily	Description	Gene_name	Species
AT5G18060.1	Auxin signaling 	SAUR-like auxin-responsive protein family	Bo9g159650	B. oleracea
AT5G18060.1	Auxin signaling 	SAUR-like auxin-responsive protein family	Bo2g014190	B. oleracea
AT5G18060.1	Auxin signaling 	SAUR-like auxin-responsive protein family	Bo2g014160	B. oleracea
AT5G18060.1	Auxin signaling 	SAUR-like auxin-responsive protein family	Bo2g014230	B. oleracea
AT5G18060.1	Auxin signaling 	SAUR-like auxin-responsive protein family	Bo3g012930	B. oleracea
AT5G18060.1	Auxin signaling 	SAUR-like auxin-responsive protein family	Bo3g012900	B. oleracea
AT5G18060.1	Auxin signaling 	SAUR-like auxin-responsive protein family	Bo9g157540	B. oleracea
AT5G18060.1	Auxin signaling 	SAUR-like auxin-responsive protein family	Bo3g012890	B. oleracea
AT5G18060.1	Auxin signaling 	SAUR-like auxin-responsive protein family	Bo2g014260	B. oleracea
AT5G18060.1	Auxin signaling 	SAUR-like auxin-responsive protein family	Bo9g157510	B. oleracea
AT5G18080.1	Auxin signaling 	SAUR-like auxin-responsive protein family	BraA10g022120.3C	B. rapa
AT5G18080.1	Auxin signaling 	SAUR-like auxin-responsive protein family	BraA02g035550.3C	B. rapa
AT5G18080.1	Auxin signaling 	SAUR-like auxin-responsive protein family	BraA02g007450.3C	B. rapa
AT5G18080.1	Auxin signaling 	SAUR-like auxin-responsive protein family	BraA10g022100.3C	B. rapa
AT5G18080.1	Auxin signaling 	SAUR-like auxin-responsive protein family	Bo9g158560	B. oleracea
AT5G18080.1	Auxin signaling 	SAUR-like auxin-responsive protein family	Bo2g014180	B. oleracea
AT5G53590.1	Auxin signaling 	SAUR-like auxin-responsive protein family	BraA03g014360.3C	B. rapa
AT5G53590.1	Auxin signaling 	SAUR-like auxin-responsive protein family	BraA03g014350.3C	B. rapa
AT5G53590.1	Auxin signaling 	SAUR-like auxin-responsive protein family	BraA02g014480.3C	B. rapa
AT5G53590.1	Auxin signaling 	SAUR-like auxin-responsive protein family	Bo2g044620	B. oleracea
AT5G53590.1	Auxin signaling 	SAUR-like auxin-responsive protein family	Bo3g022550	B. oleracea
AT5G53590.1	Auxin signaling 	SAUR-like auxin-responsive protein family	Bo9g111470	B. oleracea
AT5G66260.1	Auxin signaling 	SAUR-like auxin-responsive protein family	BraA09g009680.3C	B. rapa
AT5G66260.1	Auxin signaling 	SAUR-like auxin-responsive protein family	Bo9g022060	B. oleracea
AT3G23630.1	Auxin signaling 	IPT7	BraA07g009460.3C	B. rapa
AT3G23630.1	CK biosynthesis	IPT7	BraA07g009460.3C	B. rapa
AT3G23630.1	Auxin signaling 	IPT7	BraA01g030410.3C	B. rapa
AT3G23630.1	CK biosynthesis	IPT7	BraA01g030410.3C	B. rapa
AT3G23630.1	CK biosynthesis	IPT7	Bo1g101580	B. oleracea
AT3G23630.1	Auxin signaling 	IPT7	Bo1g101580	B. oleracea
AT3G23630.1	CK biosynthesis	IPT7	Bo7g040250	B. oleracea
AT3G23630.1	Auxin signaling 	IPT7	Bo7g040250	B. oleracea
AT3G63110.1	CK biosynthesis	IPT3	BraA09g052370.3C	B. rapa
AT3G63110.1	Auxin signaling 	IPT3	BraA09g052370.3C	B. rapa
AT3G63110.1	CK biosynthesis	IPT3	BraA04g000310.3C	B. rapa
AT3G63110.1	Auxin signaling 	IPT3	BraA04g000310.3C	B. rapa
AT3G63110.1	CK biosynthesis	IPT3	Bo4g098210	B. oleracea
AT3G63110.1	Auxin signaling 	IPT3	Bo4g098210	B. oleracea
AT3G63110.1	CK biosynthesis	IPT3	Bo8g098440	B. oleracea
AT3G63110.1	Auxin signaling 	IPT3	Bo8g098440	B. oleracea
AT5G19040.1	CK biosynthesis	IPT5	BraA02g007910.3C	B. rapa
AT5G19040.1	Auxin signaling 	IPT5	BraA02g007910.3C	B. rapa
AT5G19040.1	CK biosynthesis	IPT5	BraA10g021200.3C	B. rapa
AT5G19040.1	Auxin signaling 	IPT5	BraA10g021200.3C	B. rapa
AT5G19040.1	CK biosynthesis	IPT5	Bo9g154330	B. oleracea
AT5G19040.1	Auxin signaling 	IPT5	Bo9g154330	B. oleracea
AT5G19040.1	CK biosynthesis	IPT5	Bo00629s060	B. oleracea
AT5G19040.1	Auxin signaling 	IPT5	Bo00629s060	B. oleracea
AT1G67110.1	Auxin signaling 	CYP735A2	BraA02g017430.3C	B. rapa
AT1G67110.1	CK biosynthesis	CYP735A2	BraA02g017430.3C	B. rapa
AT1G67110.1	Auxin signaling 	CYP735A2	Bo2g055420	B. oleracea
AT1G67110.1	CK biosynthesis	CYP735A2	Bo2g055420	B. oleracea
AT5G38450.1	Auxin signaling 	CYP735A1	BraA04g011070.3C	B. rapa
AT5G38450.1	CK biosynthesis	CYP735A1	BraA04g011070.3C	B. rapa
AT5G38450.1	CK biosynthesis	CYP735A1	Bo4g137210	B. oleracea
AT5G38450.1	Auxin signaling 	CYP735A1	Bo4g137210	B. oleracea
AT1G27320.1	CK signaling 	HK3	BraA09g037160.3C	B. rapa
AT1G27320.1	CK signaling 	HK3	Bo7g049980	B. oleracea
AT2G01830.2	CK signaling 	WOL	Bo7g079940	B. oleracea
AT5G35750.1	CK signaling 	HK2	Bo4g135830	B. oleracea
AT1G03430.1	CK signaling 	AHP5	BraA10g001990.3C	B. rapa
AT1G03430.1	CK signaling 	AHP5	Bo5g003860	B. oleracea
AT1G80100.1	CK signaling 	HP6	BraA07g025650.3C	B. rapa
AT1G80100.1	CK signaling 	HP6	Bo6g080170	B. oleracea
AT3G16360.2	CK signaling 	AHP4	BraA03g037500.3C	B. rapa
AT3G16360.2	CK signaling 	AHP4	BraA05g030830.3C	B. rapa
AT3G16360.2	CK signaling 	AHP4	Bo3g068370	B. oleracea
AT3G16360.2	CK signaling 	AHP4	Bo5g126170	B. oleracea
AT3G21510.1	CK signaling 	AHP1	BraA01g032170.3C	B. rapa
AT3G21510.1	CK signaling 	AHP1	Bo1g105900	B. oleracea
AT3G29350.1	CK signaling 	AHP2	BraA09g003800.3C	B. rapa
AT3G29350.1	CK signaling 	AHP2	BraA06g036380.3C	B. rapa
AT3G29350.1	CK signaling 	AHP2	Bo7g087460	B. oleracea
AT3G29350.1	CK signaling 	AHP2	Bo9g008860	B. oleracea
AT5G39340.1	CK signaling 	AHP3	BraA04g011610.3C	B. rapa
AT5G39340.1	CK signaling 	AHP3	Bo4g137810	B. oleracea
AT1G67710.1	CK signaling 	ARR11	BraA07g031180.3C	B. rapa
AT1G67710.1	CK signaling 	ARR11	BraA07g032950.3C	B. rapa
AT1G67710.1	CK signaling 	ARR11	Bo6g098710	B. oleracea
AT3G16857.2	CK signaling 	RR1	Bo3g068530	B. oleracea
AT4G31920.1	CK signaling 	RR10	Bo8g042130	B. oleracea
AT1G10470.1	CK signaling 	ARR4	BraA09g061870.3C	B. rapa
AT1G10470.1	CK signaling 	ARR4	BraA06g007290.3C	B. rapa
AT1G10470.1	CK signaling 	ARR4	BraA08g032060.3C	B. rapa
AT1G10470.1	CK signaling 	ARR4	Bo5g010910	B. oleracea
AT1G10470.1	CK signaling 	ARR4	Bo8g109530	B. oleracea
AT1G10470.1	CK signaling 	ARR4	Bo8g059410	B. oleracea
AT1G10470.1	CK signaling 	ARR4	Bo8g109550	B. oleracea
AT1G19050.1	CK signaling 	ARR7	BraA08g028390.3C	B. rapa
AT1G19050.1	CK signaling 	ARR7	BraA06g014700.3C	B. rapa
AT1G19050.1	CK signaling 	ARR7	Bo5g027070	B. oleracea
AT1G19050.1	CK signaling 	ARR7	Bo8g068270	B. oleracea
AT1G74890.1	CK signaling 	ARR15	BraA07g028060.3C	B. rapa
AT1G74890.1	CK signaling 	ARR15	Bo6g119070	B. oleracea
AT1G74890.1	CK signaling 	ARR15	Bo6g086770	B. oleracea
AT3G48100.1	CK signaling 	RR5	BraA06g018810.3C	B. rapa
AT3G48100.1	CK signaling 	RR5	BraA01g024740.3C	B. rapa
AT3G48100.1	CK signaling 	RR5	Bo8g076650	B. oleracea
AT3G56380.1	CK signaling 	RR17	BraA03g021580.3C	B. rapa
AT3G56380.1	CK signaling 	RR17	BraA09g047090.3C	B. rapa
AT3G56380.1	CK signaling 	RR17	BraA04g004060.3C	B. rapa
AT3G56380.1	CK signaling 	RR17	Bo4g114060	B. oleracea
AT3G56380.1	CK signaling 	RR17	Bo3g035110	B. oleracea
AT3G56380.1	CK signaling 	RR17	Bo8g090810	B. oleracea
AT3G57040.1	CK signaling 	ARR9	BraA07g022670.3C	B. rapa
AT3G57040.1	CK signaling 	ARR9	BraA09g047720.3C	B. rapa
AT3G57040.1	CK signaling 	ARR9	BraA04g003520.3C	B. rapa
AT3G57040.1	CK signaling 	ARR9	Bo6g072620	B. oleracea
AT3G57040.1	CK signaling 	ARR9	Bo4g111530	B. oleracea
AT3G57040.1	CK signaling 	ARR9	Bo8g091410	B. oleracea
AT5G62920.1	CK signaling 	ARR6	Bo3g107060	B. oleracea
AT1G04700.1	MAPKKK	RAF16	BraA10g003240.3C	B. rapa
AT1G04700.1	MAPKKK	RAF16	BraA05g011650.3C	B. rapa
AT1G05100.1	MAPKKK	MAPKKK18	BraA10g003690.3C	B. rapa
AT1G05700.1	LRR-RK	Leucine-rich repeat transmembrane protein kinase protein	BraA10g004520.3C	B. rapa
AT1G05700.1	LRR-RK	Leucine-rich repeat transmembrane protein kinase protein	BraA08g034240.3C	B. rapa
AT1G07150.2	MAPKKK	MAPKKK13	BraA10g016470.3C	B. rapa
AT1G07150.2	MAPKKK	MAPKKK13	BraA10g005800.3C	B. rapa
AT1G07560.1	LRR-RK	Leucine-rich repeat protein kinase family protein	BraA09g063210.3C	B. rapa
AT1G07650.1	LRR-RK	Leucine-rich repeat transmembrane protein kinase	BraA06g004940.3C	B. rapa
AT1G07880.2	MAPK	MPK13	BraA09g063060.3C	B. rapa
AT1G08590.1	LRR-RK	Leucine-rich receptor-like protein kinase family protein	BraA08g033090.3C	B. rapa
AT1G08720.1	MAPKKK	EDR1	BraA09g062650.3C	B. rapa
AT1G09000.1	MAPKKK	MAPKKK1	BraA06g005980.3C	B. rapa
AT1G09970.1	LRR-RK	Leucine-rich receptor-like protein kinase family protein	BraA06g006870.3C	B. rapa
AT1G09970.1	LRR-RK	Leucine-rich receptor-like protein kinase family protein	BraA08g032320.3C	B. rapa
AT1G09970.1	LRR-RK	Leucine-rich receptor-like protein kinase family protein	BraA09g062100.3C	B. rapa
AT1G10210.2	MAPK	MPK1	BraA06g007050.3C	B. rapa
AT1G11050.1	RLK	Protein kinase superfamily protein	BraA09g061670.3C	B. rapa
AT1G12460.1	LRR-RK	Leucine-rich repeat protein kinase family protein	BraA06g009200.3C	B. rapa
AT1G13960.1	WRKY	WRKY4	BraA06g010070.3C	B. rapa
AT1G13960.1	WRKY	WRKY4	BraA09g059800.3C	B. rapa
AT1G13960.1	WRKY	WRKY4	BraA08g030380.3C	B. rapa
AT1G14000.1	MAPKKK	RAF17	BraA06g010110.3C	B. rapa
AT1G14000.1	MAPKKK	RAF17	BraA09g059780.3C	B. rapa
AT1G15530.1	Lectin RK	Concanavalin A-like lectin protein kinase family protein	BraA09g058670.3C	B. rapa
AT1G16160.1	Wall-associated	wall associated kinase-like 5	BraA09g058380.3C	B. rapa
AT1G16270.2	MAPKKK	RAF18	BraA06g012210.3C	B. rapa
AT1G16270.2	MAPKKK	RAF18	BraA09g058330.3C	B. rapa
AT1G17540.1	RLK	Protein kinase protein with adenine nucleotide alpha hydrolases-like domain	BraA08g029200.3C	B. rapa
AT1G17540.1	RLK	Protein kinase protein with adenine nucleotide alpha hydrolases-like domain	BraA06g013300.3C	B. rapa
AT1G17750.1	PEP receptor	PEP1 receptor 2	BraA06g013440.3C	B. rapa
AT1G17750.1	PEP receptor	PEP1 receptor 2	BraA06g013450.3C	B. rapa
AT1G18150.3	MAPK	MPK8	BraA10g018530.3C	B. rapa
AT1G18150.3	MAPK	MPK8	BraA08g028890.3C	B. rapa
AT1G18150.3	MAPK	MPK8	BraA08g020470.3C	B. rapa
AT1G18150.3	MAPK	MPK8	BraA09g057380.3C	B. rapa
AT1G18150.3	MAPK	MPK8	BraA06g013830.3C	B. rapa
AT1G18160.1	MAPKKK	RAF4	BraA06g013850.3C	B. rapa
AT1G18860.1	WRKY	WRKY61	BraA08g028490.3C	B. rapa
AT1G18860.1	WRKY	WRKY61	BraA09g056990.3C	B. rapa
AT1G18860.1	WRKY	WRKY61	BraA06g014570.3C	B. rapa
AT1G18860.1	WRKY	WRKY61	BraA06g014580.3C	B. rapa
AT1G21230.1	Wall-associated	wall associated kinase 5	BraA07g015280.3C	B. rapa
AT1G21250.1	Wall-associated	cell wall-associated kinase	BraA06g016710.3C	B. rapa
AT1G21250.1	Wall-associated	cell wall-associated kinase	BraA07g015290.3C	B. rapa
AT1G21250.1	Wall-associated	cell wall-associated kinase	BraA08g027400.3C	B. rapa
AT1G21250.1	Wall-associated	cell wall-associated kinase	BraA08g027420.3C	B. rapa
AT1G21250.1	Wall-associated	cell wall-associated kinase	BraA06g016680.3C	B. rapa
AT1G21250.1	Wall-associated	cell wall-associated kinase	BraA06g016670.3C	B. rapa
AT1G21250.1	Wall-associated	cell wall-associated kinase	BraA06g016660.3C	B. rapa
AT1G25320.1	LRR-RK	Leucine-rich repeat protein kinase family protein	BraA09g037690.3C	B. rapa
AT1G25390.1	RLK	Protein kinase superfamily protein	BraA09g037760.3C	B. rapa
AT1G25390.1	RLK	Protein kinase superfamily protein	BraA07g012770.3C	B. rapa
AT1G28440.1	RLK	HAESA-like 1	BraA08g024240.3C	B. rapa
AT1G28440.1	RLK	HAESA-like 1	BraA09g036240.3C	B. rapa
AT1G28440.1	RLK	HAESA-like 1	BraA07g011610.3C	B. rapa
AT1G29280.1	WRKY	WRKY65	BraA08g023980.3C	B. rapa
AT1G29280.1	WRKY	WRKY65	BraA09g035620.3C	B. rapa
AT1G29740.1	LRR-RK	Leucine-rich repeat transmembrane protein kinase	BraA07g010860.3C	B. rapa
AT1G29740.1	LRR-RK	Leucine-rich repeat transmembrane protein kinase	BraA07g010920.3C	B. rapa
AT1G29740.1	LRR-RK	Leucine-rich repeat transmembrane protein kinase	BraA07g010910.3C	B. rapa
AT1G29750.2	RLK	receptor-like kinase in flowers 1	BraA09g035270.3C	B. rapa
AT1G29750.2	RLK	receptor-like kinase in flowers 1	BraA08g023740.3C	B. rapa
AT1G29860.1	WRKY	WRKY71	BraA07g010810.3C	B. rapa
AT1G29860.1	WRKY	WRKY71	BraA09g035200.3C	B. rapa
AT1G30570.1	RLK	hercules receptor kinase 2	BraA09g034450.3C	B. rapa
AT1G30650.1	WRKY	WRKY14	BraA09g034360.3C	B. rapa
AT1G30650.1	WRKY	WRKY14	BraA07g010430.3C	B. rapa
AT1G32320.1	MAPKK	MKK10	BraA09g032810.3C	B. rapa
AT1G33260.1	RLK	Protein kinase superfamily protein	BraA02g028750.3C	B. rapa
AT1G33260.1	RLK	Protein kinase superfamily protein	BraA09g031820.3C	B. rapa
AT1G47890.1	RLK	receptor like protein 7	BraA09g011050.3C	B. rapa
AT1G48480.1	RLK	receptor-like kinase 1	BraA08g004360.3C	B. rapa
AT1G49100.1	LRR-RK	Leucine-rich repeat protein kinase family protein	BraA05g018060.3C	B. rapa
AT1G49730.1	RLK	Protein kinase superfamily protein	BraA06g003830.3C	B. rapa
AT1G50610.1	LRR-RK	Leucine-rich repeat protein kinase family protein	BraA08g002920.3C	B. rapa
AT1G51660.1	MAPKK	MKK4	BraA08g002490.3C	B. rapa
AT1G51660.1	MAPKK	MKK4	BraA05g018200.3C	B. rapa
AT1G51790.1	LRR-RK	Leucine-rich repeat protein kinase family protein	BraA05g018080.3C	B. rapa
AT1G51800.1	LRR-RK	Leucine-rich repeat protein kinase family protein	BraA05g018070.3C	B. rapa
AT1G51800.1	LRR-RK	Leucine-rich repeat protein kinase family protein	BraA01g035180.3C	B. rapa
AT1G51800.1	LRR-RK	Leucine-rich repeat protein kinase family protein	BraA01g035130.3C	B. rapa
AT1G51820.1	LRR-RK	Leucine-rich repeat protein kinase family protein	BraA05g018050.3C	B. rapa
AT1G51820.1	LRR-RK	Leucine-rich repeat protein kinase family protein	BraA06g002360.3C	B. rapa
AT1G51860.1	LRR-RK	Leucine-rich repeat protein kinase family protein	BraA05g018020.3C	B. rapa
AT1G51860.1	LRR-RK	Leucine-rich repeat protein kinase family protein	BraA05g017990.3C	B. rapa
AT1G51860.1	LRR-RK	Leucine-rich repeat protein kinase family protein	BraA06g002340.3C	B. rapa
AT1G51880.1	RLK	root hair specific 6	BraA05g018010.3C	B. rapa
AT1G51880.1	RLK	root hair specific 6	BraA06g002310.3C	B. rapa
AT1G51890.1	LRR-RK	Leucine-rich repeat protein kinase family protein	BraA06g002330.3C	B. rapa
AT1G51940.1	RLK	protein kinase family protein / peptidoglycan-binding LysM domain-containing protein	BraA09g029490.3C	B. rapa
AT1G51940.1	RLK	protein kinase family protein / peptidoglycan-binding LysM domain-containing protein	BraA08g002420.3C	B. rapa
AT1G51940.1	RLK	protein kinase family protein / peptidoglycan-binding LysM domain-containing protein	BraA06g002300.3C	B. rapa
AT1G52310.1	Lectin RK	protein kinase family protein / C-type lectin domain-containing protein	BraA08g002170.3C	B. rapa
AT1G53420.1	LRR-RK	Leucine-rich repeat transmembrane protein kinase	BraA05g032220.3C	B. rapa
AT1G53420.1	LRR-RK	Leucine-rich repeat transmembrane protein kinase	BraA05g032310.3C	B. rapa
AT1G53420.1	LRR-RK	Leucine-rich repeat transmembrane protein kinase	BraA05g032320.3C	B. rapa
AT1G53420.1	LRR-RK	Leucine-rich repeat transmembrane protein kinase	BraA03g036630.3C	B. rapa
AT1G53420.1	LRR-RK	Leucine-rich repeat transmembrane protein kinase	BraA03g036650.3C	B. rapa
AT1G53420.1	LRR-RK	Leucine-rich repeat transmembrane protein kinase	BraA05g032290.3C	B. rapa
AT1G53430.1	LRR-RK	Leucine-rich repeat transmembrane protein kinase	BraA05g016990.3C	B. rapa
AT1G53430.1	LRR-RK	Leucine-rich repeat transmembrane protein kinase	BraA05g017000.3C	B. rapa
AT1G53510.1	MAPK	MPK18	BraA05g016950.3C	B. rapa
AT1G53510.1	MAPK	MPK18	BraA06g001320.3C	B. rapa
AT1G53570.3	MAPKKK	MAPKKK3	BraA03g042420.3C	B. rapa
AT1G55600.1	WRKY	WRKY10	BraA08g000570.3C	B. rapa
AT1G55600.1	WRKY	WRKY10	BraA08g000490.3C	B. rapa
AT1G55610.2	RLK	BRI1 like	BraA08g000470.3C	B. rapa
AT1G55610.2	RLK	BRI1 like	BraA05g033770.3C	B. rapa
AT1G59580.2	MAPK	MPK2	BraA01g027640.3C	B. rapa
AT1G60630.1	LRR-RK	Leucine-rich repeat protein kinase family protein	BraA06g007690.3C	B. rapa
AT1G60630.1	LRR-RK	Leucine-rich repeat protein kinase family protein	BraA01g028390.3C	B. rapa
AT1G60800.1	RLK	NSP-interacting kinase 3	BraA06g000350.3C	B. rapa
AT1G62300.1	WRKY	WRKY6	BraA09g016030.3C	B. rapa
AT1G62300.1	WRKY	WRKY6	BraA03g063940.3C	B. rapa
AT1G62400.1	MAPKKK	RAF19	BraA09g017720.3C	B. rapa
AT1G62400.1	MAPKKK	RAF19	BraA09g017700.3C	B. rapa
AT1G63700.1	MAPKKK	MAPKKK4	BraA09g015090.3C	B. rapa
AT1G64000.1	WRKY	WRKY56	BraA09g013550.3C	B. rapa
AT1G64000.1	WRKY	WRKY56	BraA09g014790.3C	B. rapa
AT1G64210.1	LRR-RK	Leucine-rich repeat protein kinase family protein	BraA09g014600.3C	B. rapa
AT1G64210.1	LRR-RK	Leucine-rich repeat protein kinase family protein	BraA07g020600.3C	B. rapa
AT1G64210.1	LRR-RK	Leucine-rich repeat protein kinase family protein	BraA09g014590.3C	B. rapa
AT1G64210.1	LRR-RK	Leucine-rich repeat protein kinase family protein	BraA09g013660.3C	B. rapa
AT1G66560.1	WRKY	WRKY64	BraA02g025750.3C	B. rapa
AT1G66560.1	WRKY	WRKY64	BraA02g025770.3C	B. rapa
AT1G66560.1	WRKY	WRKY64	BraA02g025730.3C	B. rapa
AT1G66830.1	LRR-RK	Leucine-rich repeat protein kinase family protein	BraA07g032400.3C	B. rapa
AT1G66930.1	RLK	Protein kinase superfamily protein	BraA07g032490.3C	B. rapa
AT1G66970.1	RLK	SHV3-like 2	BraA09g027360.3C	B. rapa
AT1G66970.1	RLK	SHV3-like 2	BraA02g017270.3C	B. rapa
AT1G66970.1	RLK	SHV3-like 2	BraA09g026930.3C	B. rapa
AT1G66980.1	RLK	suppressor of npr1-1 constitutive 4	BraA02g017240.3C	B. rapa
AT1G67510.1	LRR-RK	Leucine-rich repeat protein kinase family protein	BraA07g032770.3C	B. rapa
AT1G67720.1	LRR-RK	Leucine-rich repeat protein kinase family protein	BraA07g032990.3C	B. rapa
AT1G67720.1	LRR-RK	Leucine-rich repeat protein kinase family protein	BraA07g032980.3C	B. rapa
AT1G68150.1	WRKY	WRKY9	BraA07g033350.3C	B. rapa
AT1G68150.1	WRKY	WRKY9	BraA02g018110.3C	B. rapa
AT1G69270.1	RLK	receptor-like protein kinase 1	BraA02g019090.3C	B. rapa
AT1G69310.2	WRKY	WRKY57	BraA07g034200.3C	B. rapa
AT1G69310.2	WRKY	WRKY57	BraA07g030410.3C	B. rapa
AT1G69310.2	WRKY	WRKY57	BraA02g019120.3C	B. rapa
AT1G69730.1	Wall-associated	Wall-associated kinase family protein	BraA07g026110.3C	B. rapa
AT1G69810.1	WRKY	WRKY36	BraA07g034690.3C	B. rapa
AT1G69810.1	WRKY	WRKY36	BraA02g019440.3C	B. rapa
AT1G69910.1	RLK	Protein kinase superfamily protein	BraA07g030140.3C	B. rapa
AT1G69990.1	LRR-RK	Leucine-rich repeat protein kinase family protein	BraA07g034890.3C	B. rapa
AT1G70110.1	Lectin RK	Concanavalin A-like lectin protein kinase family protein	BraA02g019610.3C	B. rapa
AT1G70110.1	Lectin RK	Concanavalin A-like lectin protein kinase family protein	BraA07g034980.3C	B. rapa
AT1G70130.1	Lectin RK	Concanavalin A-like lectin protein kinase family protein	BraA07g034990.3C	B. rapa
AT1G70520.1	Cysteine-rich RLK	cysteine-rich RLK (RECEPTOR-like protein kinase) 2	BraA02g019850.3C	B. rapa
AT1G70520.1	Cysteine-rich RLK	cysteine-rich RLK (RECEPTOR-like protein kinase) 2	BraA07g035280.3C	B. rapa
AT1G70530.1	Cysteine-rich RLK	cysteine-rich RLK (RECEPTOR-like protein kinase) 3	BraA07g035300.3C	B. rapa
AT1G70530.1	Cysteine-rich RLK	cysteine-rich RLK (RECEPTOR-like protein kinase) 3	BraA07g035290.3C	B. rapa
AT1G71830.1	RLK	somatic embryogenesis receptor-like kinase 1	BraA10g019600.3C	B. rapa
AT1G71830.1	RLK	somatic embryogenesis receptor-like kinase 1	BraA02g009300.3C	B. rapa
AT1G71830.1	RLK	somatic embryogenesis receptor-like kinase 1	BraA07g029410.3C	B. rapa
AT1G71830.1	RLK	somatic embryogenesis receptor-like kinase 1	BraA07g036270.3C	B. rapa
AT1G72180.1	LRR-RK	Leucine-rich receptor-like protein kinase family protein	BraA07g029240.3C	B. rapa
AT1G72180.1	LRR-RK	Leucine-rich receptor-like protein kinase family protein	BraA07g036570.3C	B. rapa
AT1G72460.1	LRR-RK	Leucine-rich repeat protein kinase family protein	BraA07g029130.3C	B. rapa
AT1G72460.1	LRR-RK	Leucine-rich repeat protein kinase family protein	BraA02g021030.3C	B. rapa
AT1G73080.1	PEP receptor	PEP1 receptor 1	BraA07g028930.3C	B. rapa
AT1G73080.1	PEP receptor	PEP1 receptor 1	BraA07g037280.3C	B. rapa
AT1G73500.1	MAPKK	MKK9	BraA07g028710.3C	B. rapa
AT1G73500.1	MAPKK	MKK9	BraA02g021800.3C	B. rapa
AT1G73670.1	MAPK	MPK15	BraA07g028610.3C	B. rapa
AT1G75640.1	LRR-RK	Leucine-rich receptor-like protein kinase family protein	BraA07g039150.3C	B. rapa
AT1G75820.1	LRR-RK	Leucine-rich receptor-like protein kinase family protein	BraA07g039310.3C	B. rapa
AT1G78940.2	RLK	Protein kinase protein with adenine nucleotide alpha hydrolases-like domain	BraA02g024950.3C	B. rapa
AT1G78940.2	RLK	Protein kinase protein with adenine nucleotide alpha hydrolases-like domain	BraA06g012670.3C	B. rapa
AT1G78940.2	RLK	Protein kinase protein with adenine nucleotide alpha hydrolases-like domain	BraA08g029550.3C	B. rapa
AT1G78980.1	RLK	STRUBBELIG-receptor family 5	BraA07g042020.3C	B. rapa
AT1G79570.1	MAPKKK	RAF20	BraA07g026160.3C	B. rapa
AT1G79570.1	MAPKKK	RAF20	BraA07g042470.3C	B. rapa
AT1G79670.1	Wall-associated	Wall-associated kinase family protein	BraA07g042560.3C	B. rapa
AT1G80640.1	RLK	Protein kinase superfamily protein	BraA02g025670.3C	B. rapa
AT1G80640.1	RLK	Protein kinase superfamily protein	BraA07g042860.3C	B. rapa
AT1G80840.1	WRKY	WRKY40	BraA02g025510.3C	B. rapa
AT1G80840.1	WRKY	WRKY40	BraA07g042700.3C	B. rapa
AT1G80840.1	WRKY	WRKY40	BraA07g026010.3C	B. rapa
AT2G01450.4	MAPK	MPK17	BraA02g034690.3C	B. rapa
AT2G01450.4	MAPK	MPK17	BraA09g023130.3C	B. rapa
AT2G01450.4	MAPK	MPK17	BraA06g040570.3C	B. rapa
AT2G03340.1	WRKY	WRKY3	BraA02g036060.3C	B. rapa
AT2G03340.1	WRKY	WRKY3	BraA06g039340.3C	B. rapa
AT2G04880.2	WRKY	WRKY1	BraA03g041890.3C	B. rapa
AT2G14440.1	LRR-RK	Leucine-rich repeat protein kinase family protein	BraA10g006180.3C	B. rapa
AT2G14510.1	LRR-RK	Leucine-rich repeat protein kinase family protein	BraA08g033530.3C	B. rapa
AT2G15080.2	RLK	receptor like protein 19	BraA03g042720.3C	B. rapa
AT2G15080.2	RLK	receptor like protein 19	BraA07g005690.3C	B. rapa
AT2G15300.1	LRR-RK	Leucine-rich repeat protein kinase family protein	BraA01g004050.3C	B. rapa
AT2G17700.1	MAPKKK	RAF21	BraA06g030280.3C	B. rapa
AT2G17700.1	MAPKKK	RAF21	BraA07g003300.3C	B. rapa
AT2G17700.1	MAPKKK	RAF21	BraA09g011040.3C	B. rapa
AT2G18170.1	MAPK	MPK7	BraA09g011270.3C	B. rapa
AT2G19210.1	LRR-RK	Leucine-rich repeat transmembrane protein kinase protein	BraA01g007690.3C	B. rapa
AT2G19210.1	LRR-RK	Leucine-rich repeat transmembrane protein kinase protein	BraA01g007700.3C	B. rapa
AT2G19210.1	LRR-RK	Leucine-rich repeat transmembrane protein kinase protein	BraA07g016390.3C	B. rapa
AT2G19230.1	LRR-RK	Leucine-rich repeat transmembrane protein kinase protein	BraA07g001610.3C	B. rapa
AT2G19230.1	LRR-RK	Leucine-rich repeat transmembrane protein kinase protein	BraA07g016410.3C	B. rapa
AT2G21480.1	Lectin RK	Malectin/receptor-like protein kinase family protein	BraA04g015730.3C	B. rapa
AT2G21900.1	WRKY	WRKY59	BraA09g055240.3C	B. rapa
AT2G21900.1	WRKY	WRKY59	BraA04g015990.3C	B. rapa
AT2G23200.1	RLK	Protein kinase superfamily protein	BraA04g017170.3C	B. rapa
AT2G23200.1	RLK	Protein kinase superfamily protein	BraA09g054330.3C	B. rapa
AT2G23300.1	LRR-RK	Leucine-rich repeat protein kinase family protein	BraA04g017130.3C	B. rapa
AT2G23450.1	RLK	Protein kinase superfamily protein	BraA09g054210.3C	B. rapa
AT2G23450.1	RLK	Protein kinase superfamily protein	BraA04g017220.3C	B. rapa
